"TAX","GEO","TIME","UNIT","Value"
"Energy taxes","Sweden","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,8"
"Energy taxes","Sweden","1999","Percentage of gross domestic product (GDP)","2,36"
"Energy taxes","Sweden","2000","Million euro","6.270,07"
"Energy taxes","Sweden","2000","Million units of national currency","52.952"
"Energy taxes","Sweden","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,5"
"Energy taxes","Sweden","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,54"
"Energy taxes","Sweden","2000","Percentage of gross domestic product (GDP)","2,22"
"Energy taxes","Sweden","2001","Million euro","6.059,79"
"Energy taxes","Sweden","2001","Million units of national currency","56.084"
"Energy taxes","Sweden","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,79"
"Energy taxes","Sweden","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,83"
"Energy taxes","Sweden","2001","Percentage of gross domestic product (GDP)","2,26"
"Energy taxes","Sweden","2002","Million euro","6.519,41"
"Energy taxes","Sweden","2002","Million units of national currency","59.725"
"Energy taxes","Sweden","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,09"
"Energy taxes","Sweden","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,14"
"Energy taxes","Sweden","2002","Percentage of gross domestic product (GDP)","2,32"
"Energy taxes","Sweden","2003","Million euro","6.910,19"
"Energy taxes","Sweden","2003","Million units of national currency","63.050"
"Energy taxes","Sweden","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,12"
"Energy taxes","Sweden","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,18"
"Energy taxes","Sweden","2003","Percentage of gross domestic product (GDP)","2,35"
"Energy taxes","Sweden","2004","Million euro","7.038,13"
"Energy taxes","Sweden","2004","Million units of national currency","64.218"
"Energy taxes","Sweden","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,96"
"Energy taxes","Sweden","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,01"
"Energy taxes","Sweden","2004","Percentage of gross domestic product (GDP)","2,29"
"Energy taxes","Sweden","2005","Million euro","7.122,02"
"Energy taxes","Sweden","2005","Million units of national currency","66.108"
"Energy taxes","Sweden","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,82"
"Energy taxes","Sweden","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,88"
"Energy taxes","Sweden","2005","Percentage of gross domestic product (GDP)","2,27"
"Energy taxes","Sweden","2006","Million euro","7.251,36"
"Energy taxes","Sweden","2006","Million units of national currency","67.107"
"Energy taxes","Sweden","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,66"
"Energy taxes","Sweden","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,71"
"Energy taxes","Sweden","2006","Percentage of gross domestic product (GDP)","2,16"
"Energy taxes","Sweden","2007","Million euro","7.323,7"
"Energy taxes","Sweden","2007","Million units of national currency","67.745"
"Energy taxes","Sweden","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,51"
"Energy taxes","Sweden","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,57"
"Energy taxes","Sweden","2007","Percentage of gross domestic product (GDP)","2,05"
"Energy taxes","Sweden","2008","Million euro","7.196,11"
"Energy taxes","Sweden","2008","Million units of national currency","69.192"
"Energy taxes","Sweden","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,58"
"Energy taxes","Sweden","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,64"
"Energy taxes","Sweden","2008","Percentage of gross domestic product (GDP)","2,04"
"Energy taxes","Sweden","2009","Million euro","6.655,18"
"Energy taxes","Sweden","2009","Million units of national currency","70.672"
"Energy taxes","Sweden","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,81"
"Energy taxes","Sweden","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,87"
"Energy taxes","Sweden","2009","Percentage of gross domestic product (GDP)","2,15"
"Energy taxes","Sweden","2010","Million euro","7.705,33"
"Energy taxes","Sweden","2010","Million units of national currency","73.488"
"Energy taxes","Sweden","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,77"
"Energy taxes","Sweden","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,83"
"Energy taxes","Sweden","2010","Percentage of gross domestic product (GDP)","2,09"
"Energy taxes","Sweden","2011","Million euro","7.848,79"
"Energy taxes","Sweden","2011","Million units of national currency","70.873"
"Energy taxes","Sweden","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,5"
"Energy taxes","Sweden","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,56"
"Energy taxes","Sweden","2011","Percentage of gross domestic product (GDP)","1,94"
"Energy taxes","Sweden","2012","Million euro","8.290,23"
"Energy taxes","Sweden","2012","Million units of national currency","72.159"
"Energy taxes","Sweden","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,54"
"Energy taxes","Sweden","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,6"
"Energy taxes","Sweden","2012","Percentage of gross domestic product (GDP)","1,96"
"Energy taxes","Sweden","2013","Million euro","8.231,06"
"Energy taxes","Sweden","2013","Million units of national currency","71.211"
"Energy taxes","Sweden","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,35"
"Energy taxes","Sweden","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,4"
"Energy taxes","Sweden","2013","Percentage of gross domestic product (GDP)","1,89"
"Energy taxes","Sweden","2014","Million euro","7.579,82"
"Energy taxes","Sweden","2014","Million units of national currency","68.965"
"Energy taxes","Sweden","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,06"
"Energy taxes","Sweden","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,11"
"Energy taxes","Sweden","2014","Percentage of gross domestic product (GDP)","1,75"
"Energy taxes","Sweden","2015","Million euro","7.796,97"
"Energy taxes","Sweden","2015","Million units of national currency","72.929"
"Energy taxes","Sweden","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,98"
"Energy taxes","Sweden","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,03"
"Energy taxes","Sweden","2015","Percentage of gross domestic product (GDP)","1,74"
"Energy taxes","Sweden","2016","Million euro","8.168,21"
"Energy taxes","Sweden","2016","Million units of national currency","77.344"
"Energy taxes","Sweden","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,94"
"Energy taxes","Sweden","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","3,99"
